Data from CsFaPI Absorbance_Absorbance_11-58-41-314.txt Node
Date: Fri Oct 29 11:58:41 BST 2021
User: php21ajb
Spectrometer: HR+D0521
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 100
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
187.928	-0.13
188.405	-0.13
188.882	-0.13
189.359	-0.56
189.835	-0
190.312	-0
190.789	-0
191.265	-0
191.742	-0
192.219	-0
192.695	-0.6
193.172	-0
193.648	-0
194.125	-0
194.601	-0
195.077	1.29
195.554	-0.36
196.03	-0
196.506	-0
196.983	-0
197.459	-0
197.935	-0.29
198.411	-0
198.887	-0
199.363	0.35
199.839	-0
200.315	-0
200.791	-0
201.267	0.44
201.743	1.08
202.219	-0
202.695	1.08
203.171	-0
203.647	-0
204.122	1.65
204.598	-0
205.074	0.76
205.549	-0
206.025	0.73
206.501	-0
206.976	-0
207.452	1.02
207.927	1.41
208.402	1.11
208.878	-0
209.353	-0
209.829	0.9
210.304	0.63
210.779	-0
211.254	1.2
211.73	-0
212.205	-0
212.68	-0
213.155	0.75
213.63	0.66
214.105	-0
214.58	-0
215.055	-0
215.53	0.69
216.005	-0
216.48	0.86
216.954	0.78
217.429	0.37
217.904	2.39
218.379	-0
218.853	-0
219.328	0.57
219.803	2.06
220.277	-0
220.752	-0
221.226	1.4
221.701	0.95
222.175	0.63
222.65	-0
223.124	-0
223.598	-0
224.073	0.9
224.547	-0
225.021	0.61
225.495	-0
225.97	-0
226.444	1.11
226.918	-0
227.392	-0
227.866	0.72
228.34	-0
228.814	-0
229.288	-0
229.762	-0
230.236	-0
230.71	-0
231.183	-0
231.657	-0
232.131	-0
232.605	-0
233.078	-0
233.552	-0
234.026	-0
234.499	-0
234.973	1.31
235.446	0.97
235.92	-0
236.393	-0
236.867	0.4
237.34	4.05
237.813	1.08
238.287	-0
238.76	1.16
239.233	0.99
239.706	2.34
240.179	-0
240.653	-0
241.126	-0
241.599	0.56
242.072	-0
242.545	-0
243.018	-0
243.491	-0
243.964	0.58
244.437	4.06
244.909	0.82
245.382	0.58
245.855	-0
246.328	0.51
246.8	0.57
247.273	1.1
247.746	-0
248.218	-0
248.691	0.71
249.163	-0
249.636	-0
250.108	-0
250.581	-0
251.053	1.7
251.526	-0
251.998	-0
252.47	-0
252.943	0.56
253.415	-0
253.887	1.14
254.359	-0
254.831	0.81
255.304	1.06
255.776	1.22
256.248	1.24
256.72	-0
257.192	1.33
257.664	2.27
258.136	-0
258.607	-0
259.079	0.84
259.551	-0
260.023	-0
260.495	1.15
260.966	0.81
261.438	1.44
261.91	-0
262.381	-0
262.853	1.28
263.325	1.39
263.796	-0
264.268	-0
264.739	-0
265.21	-0
265.682	-0
266.153	0.83
266.624	0.51
267.096	1.12
267.567	1.5
268.038	0.94
268.509	0.79
268.981	-0
269.452	-0
269.923	-0
270.394	0.75
270.865	0.98
271.336	1.4
271.807	-0
272.278	-0
272.749	-0
273.22	1.24
273.69	-0
274.161	-0
274.632	-0
275.103	-0
275.574	-0
276.044	1.04
276.515	-0
276.985	1.01
277.456	-0
277.927	1.3
278.397	1.4
278.868	1.01
279.338	-0
279.808	0.67
280.279	1.82
280.749	-0
281.219	-0
281.69	-0
282.16	0.95
282.63	2.14
283.1	-0
283.571	-0
284.041	1.37
284.511	1.09
284.981	0.73
285.451	-0
285.921	1.43
286.391	2.75
286.861	1.59
287.331	0.94
287.8	-0
288.27	-0
288.74	2.29
289.21	-0
289.68	-0
290.149	1.23
290.619	-0
291.089	-0
291.558	-0
292.028	-0
292.497	1.49
292.967	-0
293.436	-0
293.906	1.92
294.375	-0
294.845	2.01
295.314	2.39
295.783	2.04
296.253	-0
296.722	4.21
297.191	2.06
297.66	-0
298.129	-0
298.598	2.81
299.068	-0
299.537	2.87
300.006	-0
300.475	-0
